gene_id,sprot_Top_BLASTX_hit
TRINITY_DN100111_c0_g1,LORF2_HUMAN
TRINITY_DN100122_c2_g1,TCB1_CAEBR
TRINITY_DN100128_c0_g1,ZG71_XENLA
TRINITY_DN10012_c0_g1,RM36_RAT
TRINITY_DN100143_c0_g1,HMCN1_MOUSE
TRINITY_DN100143_c1_g1,HMCN1_HUMAN
TRINITY_DN100149_c0_g1,RMI2_CHICK
TRINITY_DN100158_c0_g1,VPS4B_MOUSE
TRINITY_DN100176_c0_g1,RASF4_HUMAN
TRINITY_DN100177_c0_g1,PTN14_MOUSE
TRINITY_DN10017_c0_g1,ACHB3_CHICK
TRINITY_DN100185_c0_g2,O13G1_HUMAN
TRINITY_DN100185_c0_g3,OR6N1_HUMAN
TRINITY_DN100185_c0_g4,OR6F1_HUMAN
TRINITY_DN1001_c0_g1,KCD12_HUMAN
TRINITY_DN1001_c0_g2,KCD12_HUMAN
TRINITY_DN100201_c0_g1,GRP75_CRIGR
TRINITY_DN100201_c0_g2,GRP75_PONAB
TRINITY_DN100201_c0_g3,GRP75_BOVIN
TRINITY_DN100201_c0_g4,GRP75_CHICK
TRINITY_DN100220_c0_g1,PSG6_HUMAN
TRINITY_DN100225_c0_g1,LORF2_MOUSE
TRINITY_DN100230_c2_g1,GAK_RAT
TRINITY_DN100232_c0_g1,SSBP2_HUMAN
TRINITY_DN100232_c0_g3,SSBP2_MOUSE
TRINITY_DN10023_c0_g1,DTNA_HUMAN
TRINITY_DN10023_c0_g2,DTNB_HUMAN
TRINITY_DN100242_c1_g1,SMG5_MOUSE
TRINITY_DN100243_c0_g1,UBA5_XENLA
TRINITY_DN100243_c3_g1,AKA11_HUMAN
TRINITY_DN10024_c0_g1,IOD1_XENLA
TRINITY_DN100253_c0_g1,PLAK_XENLA
TRINITY_DN100267_c0_g1,HGS_BOVIN
TRINITY_DN100275_c0_g1,TBD2B_XENTR
TRINITY_DN100289_c0_g1,ZMAT1_XENTR
TRINITY_DN100290_c0_g1,FCRL6_HUMAN
TRINITY_DN10029_c0_g2,NYAP2_HUMAN
TRINITY_DN1002_c0_g1,NLRP3_HUMAN
TRINITY_DN1002_c0_g3,NLRP3_HUMAN
TRINITY_DN1002_c1_g1,RINI_PANTR
TRINITY_DN100300_c0_g1,YG31B_YEAST
TRINITY_DN100300_c0_g2,TF29_SCHPO
TRINITY_DN100305_c0_g1,SIM14_BOVIN
TRINITY_DN100305_c0_g2,SIM14_BOVIN
TRINITY_DN10030_c0_g1,VIR_MOUSE
TRINITY_DN10030_c0_g2,VIR_HUMAN
TRINITY_DN100314_c0_g1,LIN1_NYCCO
TRINITY_DN100323_c0_g1,SVOPL_HUMAN
TRINITY_DN100340_c2_g1,BRD8_MOUSE
TRINITY_DN10034_c1_g2,AASS_BOVIN
TRINITY_DN10034_c1_g3,AASS_BOVIN
TRINITY_DN100358_c2_g1,EI2BE_RAT
TRINITY_DN10035_c0_g4,CPLX3_MOUSE
TRINITY_DN10036_c0_g1,HCN2_HUMAN
TRINITY_DN10036_c0_g2,RPOM_MOUSE
TRINITY_DN10036_c0_g3,HCN4_HUMAN
TRINITY_DN100372_c0_g1,ARMC5_RAT
TRINITY_DN100375_c0_g1,LORF2_MOUSE
TRINITY_DN100377_c0_g1,CPNS1_MOUSE
TRINITY_DN100377_c0_g4,CPNS1_RAT
TRINITY_DN100377_c1_g1,SVBP_HUMAN
TRINITY_DN100378_c0_g1,POLG_PVCV1
TRINITY_DN10037_c0_g1,RHG35_XENLA
TRINITY_DN10038_c0_g1,TCB2_CAEBR
TRINITY_DN100395_c0_g1,LIN1_NYCCO
TRINITY_DN100397_c0_g1,CCS_HUMAN
TRINITY_DN100397_c3_g1,CCS_RAT
TRINITY_DN100397_c4_g1,CCS_MOUSE
TRINITY_DN10039_c0_g1,DAF36_CAEEL
TRINITY_DN1003_c0_g2,SC11C_MOUSE
TRINITY_DN1003_c1_g1,SC11C_MOUSE
TRINITY_DN100407_c0_g1,YETS2_HUMAN
TRINITY_DN100407_c0_g3,YETS2_HUMAN
TRINITY_DN100407_c0_g4,YETS2_MOUSE
TRINITY_DN100409_c0_g1,CTNA1_BOVIN
TRINITY_DN10040_c0_g1,MAP1B_RAT
TRINITY_DN100410_c0_g1,S27A3_HUMAN
TRINITY_DN100410_c1_g1,S27A6_HUMAN
TRINITY_DN100415_c1_g1,ANK2_MOUSE
TRINITY_DN100422_c1_g1,ELF2_HUMAN
TRINITY_DN100422_c1_g3,ELF2_HUMAN
TRINITY_DN100428_c0_g1,LOX5_HUMAN
TRINITY_DN100428_c0_g3,RL27A_XENLA
TRINITY_DN10042_c0_g2,CFAH_MOUSE
TRINITY_DN100430_c0_g1,LORF2_HUMAN
TRINITY_DN100432_c0_g1,AS3MT_RAT
TRINITY_DN100436_c0_g1,NNMT_MOUSE
TRINITY_DN100436_c1_g1,INMT_RABIT
TRINITY_DN100436_c3_g1,NNMT_HUMAN
TRINITY_DN10043_c0_g1,RNF24_HUMAN
TRINITY_DN100444_c0_g1,RMP_BOVIN
TRINITY_DN100444_c0_g2,RMP_HUMAN
TRINITY_DN100445_c0_g1,LORF2_HUMAN
TRINITY_DN100446_c0_g1,PTPRE_HUMAN
TRINITY_DN100453_c0_g1,CO6A6_HUMAN
TRINITY_DN10045_c0_g1,ZN586_HUMAN
TRINITY_DN10045_c5_g1,ZN184_MOUSE
TRINITY_DN100468_c0_g1,MYOF_XENTR
TRINITY_DN100472_c0_g1,POL_MLVBM
TRINITY_DN100472_c0_g2,POL_MLVRK
TRINITY_DN100472_c0_g3,POL_FLV
TRINITY_DN100472_c1_g1,POL_MLVF5
TRINITY_DN100472_c2_g1,POL_XMRV4
TRINITY_DN100488_c0_g1,RT29_MOUSE
TRINITY_DN100492_c0_g1,LORF2_HUMAN
TRINITY_DN1004_c0_g1,CRNS1_HUMAN
TRINITY_DN1004_c2_g1,TM182_DANRE
TRINITY_DN100500_c0_g1,SNTA1_MOUSE
TRINITY_DN100501_c1_g1,SPTN5_HUMAN
TRINITY_DN10050_c0_g1,BCAR1_MOUSE
TRINITY_DN100517_c0_g1,LORF2_MOUSE
TRINITY_DN100531_c0_g1,HERC3_HUMAN
TRINITY_DN100537_c0_g1,IMA3_MOUSE
TRINITY_DN10053_c0_g1,ATG10_MOUSE
TRINITY_DN10053_c0_g2,ATG10_MOUSE
TRINITY_DN10053_c1_g1,ESF1_HUMAN
TRINITY_DN10053_c2_g1,ESF1_MOUSE
TRINITY_DN100542_c0_g1,POL_EIAVC
TRINITY_DN10054_c0_g1,ELAV2_XENTR
TRINITY_DN10054_c1_g2,TP4AP_HUMAN
TRINITY_DN10054_c4_g1,KPCD_RAT
TRINITY_DN100550_c0_g3,LORF1_HUMAN
TRINITY_DN100559_c0_g1,LMO41_XENTR
TRINITY_DN100559_c1_g1,LMO4A_XENLA
TRINITY_DN10055_c0_g1,ASCC3_CHICK
TRINITY_DN10056_c1_g1,KANL2_MOUSE
TRINITY_DN10056_c1_g2,KANL2_RAT
TRINITY_DN100573_c0_g1,LORF2_MOUSE
TRINITY_DN100579_c0_g1,PYRG2_XENLA
TRINITY_DN10057_c0_g1,DGKI_HUMAN
TRINITY_DN100584_c0_g1,LITD1_HUMAN
TRINITY_DN100585_c0_g1,BIRC6_HUMAN
TRINITY_DN10058_c0_g1,DDX27_HUMAN
TRINITY_DN10058_c0_g2,DDX27_HUMAN
TRINITY_DN100593_c0_g1,LFNG_XENLA
TRINITY_DN100599_c0_g1,DUS26_MOUSE
TRINITY_DN100599_c2_g1,OX2R_CANLF
TRINITY_DN100599_c2_g2,OX2R_RAT
TRINITY_DN100606_c0_g1,5HT3A_HUMAN
TRINITY_DN10060_c0_g1,PCD23_HUMAN
TRINITY_DN100611_c0_g1,CUX1_HUMAN
TRINITY_DN100613_c1_g1,CPGP2_ZINOF
TRINITY_DN100613_c2_g1,CTL2A_MOUSE
TRINITY_DN100620_c0_g3,CCD97_MOUSE
TRINITY_DN100625_c1_g1,LIPA1_HUMAN
TRINITY_DN10062_c0_g1,SCNNH_XENLA
TRINITY_DN100638_c0_g1,LORF2_MOUSE
TRINITY_DN100647_c0_g1,GELS_XENLA
TRINITY_DN100654_c0_g1,SYLC_MOUSE
TRINITY_DN10065_c0_g1,VPP4_HUMAN
TRINITY_DN100677_c1_g1,TMPS9_HUMAN
TRINITY_DN100679_c0_g1,LORF2_MOUSE
TRINITY_DN10068_c0_g1,ICK_HUMAN
TRINITY_DN100694_c1_g1,ANGE1_HUMAN
TRINITY_DN10069_c0_g1,BCLA3_HUMAN
TRINITY_DN1006_c0_g2,UBA1_RABIT
TRINITY_DN1006_c0_g4,UBA1_HUMAN
TRINITY_DN100711_c1_g1,GLCM_PONAB
TRINITY_DN100717_c0_g1,LIN1_NYCCO
TRINITY_DN100717_c0_g2,LIN1_NYCCO
TRINITY_DN10071_c0_g1,PCBP3_MOUSE
TRINITY_DN100724_c0_g1,IDE_BOVIN
TRINITY_DN100734_c0_g1,ZG48_XENLA
TRINITY_DN100735_c0_g1,TFEC_CHICK
TRINITY_DN100735_c1_g1,TFEC_CHICK
TRINITY_DN100738_c0_g1,LORF2_MOUSE
TRINITY_DN10074_c0_g1,RGP1_HUMAN
TRINITY_DN100751_c0_g1,CR3L4_XENTR
TRINITY_DN100754_c0_g1,LORF2_HUMAN
TRINITY_DN100754_c0_g2,LORF2_MOUSE
TRINITY_DN10075_c0_g1,TIMP1_SHEEP
TRINITY_DN10075_c0_g2,TIMP3_XENLA
TRINITY_DN10075_c0_g3,TIMP1_PAPCY
TRINITY_DN100776_c1_g1,TFDP1_HUMAN
TRINITY_DN100779_c0_g1,LORF2_MOUSE
TRINITY_DN10077_c0_g1,IQCC_BOVIN
TRINITY_DN10078_c1_g1,TC1A_CAEEL
TRINITY_DN10079_c0_g3,GRHPR_HUMAN
TRINITY_DN1007_c0_g1,SH3L1_PONAB
TRINITY_DN1007_c1_g1,GLT17_HUMAN
TRINITY_DN100809_c0_g1,ZMY11_HUMAN
TRINITY_DN10080_c0_g1,GAB1_MESAU
TRINITY_DN10080_c0_g2,GAB1_HUMAN
TRINITY_DN100819_c0_g1,POL5_DROME
TRINITY_DN100819_c1_g1,POL2_DROME
TRINITY_DN100836_c0_g1,GCYB1_BOVIN
TRINITY_DN10083_c0_g2,P2RY8_CHICK
TRINITY_DN100841_c0_g1,LIN1_NYCCO
TRINITY_DN100842_c0_g1,NAL12_HUMAN
TRINITY_DN10084_c0_g1,CIB2_MOUSE
TRINITY_DN100852_c0_g1,UBF1A_XENLA
TRINITY_DN100858_c0_g1,XDH_CHICK
TRINITY_DN100859_c0_g1,DD19B_HUMAN
TRINITY_DN10085_c0_g1,UP44B_XENLA
TRINITY_DN100862_c0_g1,ALPL_ARATH
TRINITY_DN100862_c0_g2,ALPL_ARATH
TRINITY_DN100874_c0_g1,RNZ2_PANTR
TRINITY_DN100876_c0_g2,CCL28_HUMAN
TRINITY_DN10087_c0_g1,ZG71_XENLA
TRINITY_DN10087_c0_g2,ZO71_XENLA
TRINITY_DN10087_c1_g1,ZN630_HUMAN
TRINITY_DN100886_c0_g1,DPYL2_BOVIN
TRINITY_DN100886_c1_g1,DPYL2_CHICK
TRINITY_DN1008_c0_g2,CKAP5_XENLA
TRINITY_DN1008_c0_g3,CKAP5_HUMAN
TRINITY_DN100904_c0_g1,SRCRM_HUMAN
TRINITY_DN100906_c0_g1,KPCT_HUMAN
TRINITY_DN10091_c0_g1,ZG66_XENLA
TRINITY_DN100932_c0_g1,FCGBP_HUMAN
TRINITY_DN100937_c0_g1,SC5A8_XENLA
TRINITY_DN100945_c2_g1,GRK6_HUMAN
TRINITY_DN10094_c0_g1,INMT_MOUSE
TRINITY_DN100950_c0_g1,SYBU_MOUSE
TRINITY_DN100951_c1_g1,LORF2_HUMAN
TRINITY_DN100953_c0_g2,SYS1_MOUSE
TRINITY_DN100955_c0_g1,LORF2_HUMAN
TRINITY_DN100956_c0_g1,ERGI1_HUMAN
TRINITY_DN100961_c0_g1,FARP1_MOUSE
TRINITY_DN100961_c1_g1,FARP1_CHICK
TRINITY_DN100963_c0_g1,LORF2_HUMAN
TRINITY_DN100963_c1_g1,LORF2_HUMAN
TRINITY_DN10096_c0_g1,ZN300_HUMAN
TRINITY_DN100975_c3_g1,DTNA_MOUSE
TRINITY_DN100975_c4_g1,DTNA_MOUSE
TRINITY_DN100993_c0_g1,TAZ_GORGO
TRINITY_DN100996_c2_g1,UBP4_HUMAN
TRINITY_DN100998_c1_g1,CHSTB_HUMAN
TRINITY_DN10099_c0_g1,THILB_XENLA
TRINITY_DN1009_c0_g1,PIP30_MOUSE
TRINITY_DN1009_c0_g3,PIP30_MOUSE
TRINITY_DN1009_c0_g4,PIP30_MOUSE
TRINITY_DN100_c0_g1,PGAM1_CHICK
TRINITY_DN100_c0_g2,PGAM2_HUMAN
TRINITY_DN100_c0_g3,PGAM1_RAT
TRINITY_DN100_c0_g4,PGAM1_BOVIN
TRINITY_DN101003_c0_g1,SPOPB_XENLA
TRINITY_DN101003_c1_g1,SPOP_DANRE
TRINITY_DN101003_c2_g1,SPOP_XENTR
TRINITY_DN101012_c0_g1,VWF_CANLF
TRINITY_DN10101_c0_g1,CROCC_HUMAN
TRINITY_DN10101_c0_g2,MRCKB_HUMAN
TRINITY_DN101027_c1_g1,CO6A2_HUMAN
TRINITY_DN101028_c0_g1,LORF2_MOUSE
TRINITY_DN10102_c1_g1,ADDB_RAT
TRINITY_DN101030_c0_g1,VLPD_MYCHR
TRINITY_DN10103_c0_g2,THOC6_MOUSE
TRINITY_DN10103_c0_g3,THOC6_MOUSE
TRINITY_DN10103_c0_g4,THOC6_MOUSE
TRINITY_DN101042_c0_g1,LORF2_HUMAN
TRINITY_DN101057_c0_g1,LIN1_NYCCO
TRINITY_DN101059_c0_g1,ARMC8_XENLA
TRINITY_DN101065_c0_g1,CDC37_CHICK
TRINITY_DN101065_c0_g2,CDC37_HUMAN
TRINITY_DN101065_c0_g3,CDC37_TETFL
TRINITY_DN101066_c0_g2,LORF2_MOUSE
TRINITY_DN101066_c0_g3,LORF2_MOUSE
TRINITY_DN10106_c0_g1,SPB8_BOVIN
TRINITY_DN101075_c0_g1,AVR2B_XENLA
TRINITY_DN101077_c0_g1,ZCHC3_MOUSE
TRINITY_DN101082_c0_g1,TAAR1_MACMU
TRINITY_DN101082_c0_g2,TAAR1_MACMU
TRINITY_DN101089_c1_g1,COLA1_HUMAN
TRINITY_DN101095_c0_g1,RFIP3_MOUSE
TRINITY_DN101098_c1_g1,MTO1_PONAB
TRINITY_DN1010_c0_g2,RAGP1_XENLA
TRINITY_DN101108_c0_g1,AQP3_BOVIN
TRINITY_DN10110_c5_g1,MYCT1_XENTR
TRINITY_DN101110_c0_g1,LORF2_HUMAN
TRINITY_DN101111_c3_g1,BOLA1_MOUSE
TRINITY_DN101121_c1_g1,FOSL2_CHICK
TRINITY_DN10112_c0_g1,MEIS2_HUMAN
TRINITY_DN10112_c0_g2,NETO2_HUMAN
TRINITY_DN10112_c0_g3,MEIS2_HUMAN
TRINITY_DN10112_c1_g1,BTBD3_MUSPF
TRINITY_DN10112_c2_g1,VITA2_XENLA
TRINITY_DN101135_c2_g1,TC1A_CAEEL
TRINITY_DN101154_c0_g1,CAF17_DANRE
TRINITY_DN10115_c0_g1,ASC_BOVIN
TRINITY_DN10115_c0_g2,ASC_BOVIN
TRINITY_DN101161_c0_g1,DPP3_HUMAN
TRINITY_DN101161_c2_g1,DPP3_HUMAN
TRINITY_DN101163_c0_g1,SH3G1_CHICK
TRINITY_DN101167_c0_g1,LORF2_HUMAN
TRINITY_DN10118_c0_g1,RNLS_HUMAN
TRINITY_DN101194_c0_g1,BRDOS_HUMAN
TRINITY_DN10119_c0_g2,NDNF_XENTR
TRINITY_DN1011_c0_g1,2A5E_MOUSE
TRINITY_DN10120_c0_g1,LIAT1_HUMAN
TRINITY_DN101210_c1_g1,LORF2_MOUSE
TRINITY_DN101214_c0_g1,PDPK2_HUMAN
TRINITY_DN101215_c2_g1,UTP11_RAT
TRINITY_DN101220_c0_g1,ABD12_XENTR
TRINITY_DN101231_c0_g1,NUDC3_HUMAN
TRINITY_DN101233_c0_g2,AGTR2_MOUSE
TRINITY_DN101239_c0_g1,L10K_MOUSE
TRINITY_DN10123_c1_g1,CYB_PELNI
TRINITY_DN101246_c0_g1,CERK1_HUMAN
TRINITY_DN101254_c0_g1,LORF2_MOUSE
TRINITY_DN101255_c0_g1,SFPQ_HUMAN
TRINITY_DN101259_c0_g1,CBX1_MOUSE
TRINITY_DN10125_c0_g1,PRP4_HUMAN
TRINITY_DN10125_c0_g2,PRP4_HUMAN
TRINITY_DN10126_c0_g1,LIN1_NYCCO
TRINITY_DN10126_c0_g2,LIN1_NYCCO
TRINITY_DN10127_c0_g1,KLH24_RAT
TRINITY_DN101285_c0_g1,VAT1_DANRE
TRINITY_DN101290_c1_g1,ZN397_HUMAN
TRINITY_DN10129_c0_g1,UCP4_HUMAN
TRINITY_DN101302_c1_g1,ZO1_HUMAN
TRINITY_DN101303_c0_g1,PARD3_HUMAN
TRINITY_DN10131_c0_g2,DNJC5_XENLA
TRINITY_DN10131_c1_g1,DNJC5_HUMAN
TRINITY_DN101320_c0_g1,ACVR1_BOVIN
TRINITY_DN101322_c1_g1,ATPB_BOVIN
TRINITY_DN101322_c2_g1,ATPB_MOUSE
TRINITY_DN101323_c0_g1,LORF2_HUMAN
TRINITY_DN101325_c0_g1,STAU2_DANRE
TRINITY_DN101335_c0_g1,PRP6_MOUSE
TRINITY_DN101335_c1_g1,PRP6_RAT
TRINITY_DN101341_c0_g1,IPO9_MOUSE
TRINITY_DN101344_c0_g1,RADI_HUMAN
TRINITY_DN101344_c0_g2,RADI_MOUSE
TRINITY_DN101344_c0_g4,RADI_HUMAN
TRINITY_DN101355_c0_g1,CP4A4_RABIT
TRINITY_DN101371_c0_g1,LORF2_HUMAN
TRINITY_DN101375_c0_g1,UBA1_BOVIN
TRINITY_DN101378_c0_g1,AL7A1_HUMAN
TRINITY_DN101378_c0_g4,AL7A1_BOVIN
TRINITY_DN10137_c0_g1,SLIK4_MOUSE
TRINITY_DN10138_c0_g1,LORF2_HUMAN
TRINITY_DN101392_c0_g1,BCL7B_HUMAN
TRINITY_DN101395_c0_g1,BPTF_HUMAN
TRINITY_DN101398_c0_g1,OPA1_PONAB
TRINITY_DN1013_c1_g2,MYD88_XENTR
TRINITY_DN10140_c0_g1,CUL9_HUMAN
TRINITY_DN101417_c0_g1,TF29_SCHPO
TRINITY_DN10141_c0_g1,ZFPL1_XENTR
TRINITY_DN10141_c0_g2,ZFPL1_XENLA
TRINITY_DN10142_c0_g2,OTX5_XENTR
TRINITY_DN101430_c0_g1,POL3_DROME
TRINITY_DN101430_c1_g2,TF28_SCHPO
TRINITY_DN101430_c1_g3,TF29_SCHPO
TRINITY_DN101431_c0_g1,FGF16_HUMAN
TRINITY_DN101439_c0_g1,NEK9_XENLA
TRINITY_DN10143_c0_g1,KMT2A_HUMAN
TRINITY_DN101450_c0_g1,KMT2E_HUMAN
TRINITY_DN10145_c0_g1,PGM2L_MOUSE
TRINITY_DN10145_c0_g2,PGM2L_MOUSE
TRINITY_DN101465_c3_g1,TGM5_HUMAN
TRINITY_DN101485_c0_g1,P2RX7_HUMAN
TRINITY_DN10148_c0_g1,CPLX3_MOUSE
TRINITY_DN101496_c0_g1,LORF2_HUMAN
TRINITY_DN10149_c0_g1,YTX2_XENLA
TRINITY_DN10149_c1_g4,SCAM3_HUMAN
TRINITY_DN1014_c0_g1,ACY1A_RAT
TRINITY_DN101516_c0_g1,CLCA4_HUMAN
TRINITY_DN10153_c0_g1,SZT2_HUMAN
TRINITY_DN101541_c1_g1,TM199_PONAB
TRINITY_DN10154_c0_g1,CI085_RAT
TRINITY_DN10154_c1_g1,ICLN_XENLA
TRINITY_DN10154_c3_g1,ICLN_XENLA
TRINITY_DN10155_c0_g2,ANKR6_HUMAN
TRINITY_DN101562_c0_g1,T4S1_HUMAN
TRINITY_DN101568_c0_g1,LORF2_MOUSE
TRINITY_DN101568_c0_g2,LORF2_HUMAN
TRINITY_DN10156_c0_g1,ZFN2B_HUMAN
TRINITY_DN10156_c1_g1,ATL1_HUMAN
TRINITY_DN101570_c0_g1,LORF2_MOUSE
TRINITY_DN101578_c0_g1,ABHDB_XENTR
TRINITY_DN10158_c0_g2,EFC14_HUMAN
TRINITY_DN101596_c0_g1,ZO72_XENLA
TRINITY_DN10159_c0_g1,NAV3_HUMAN
TRINITY_DN10159_c0_g2,SO3A1_BOVIN
TRINITY_DN1015_c0_g1,WWP1_HUMAN
TRINITY_DN1015_c0_g2,WWP1_HUMAN
TRINITY_DN101600_c0_g1,LAP2A_HUMAN
TRINITY_DN10160_c0_g1,MSMB_PIG
TRINITY_DN101615_c0_g1,SNX14_MOUSE
TRINITY_DN101654_c0_g1,ZO2_CANLF
TRINITY_DN10165_c0_g1,IIGP5_RAT
TRINITY_DN10165_c1_g1,ZIK1_MOUSE
TRINITY_DN101664_c1_g1,F172A_XENTR
TRINITY_DN101668_c0_g1,CTF18_XENLA
TRINITY_DN101669_c0_g1,SMG5_HUMAN
TRINITY_DN101675_c0_g1,YG31B_YEAST
TRINITY_DN101680_c0_g2,GUC1B_CHICK
TRINITY_DN101680_c1_g1,GUC1B_LITPI
TRINITY_DN101684_c0_g1,TCB2_CAEBR
TRINITY_DN101686_c0_g1,ZO1_MOUSE
TRINITY_DN10168_c0_g1,LRCC1_XENLA
TRINITY_DN10168_c0_g2,LRCC1_XENLA
TRINITY_DN101691_c1_g1,LORF2_MOUSE
TRINITY_DN101695_c0_g1,CISY_XENLA
TRINITY_DN10169_c0_g1,CRBL2_RAT
TRINITY_DN10169_c0_g2,FZD2_XENLA
TRINITY_DN10169_c1_g2,PYRG2_XENLA
TRINITY_DN10169_c2_g1,LSM12_XENLA
TRINITY_DN101707_c2_g1,EXOC4_HUMAN
TRINITY_DN101709_c1_g1,MTMR9_BOVIN
TRINITY_DN101711_c0_g1,DYHC_ONCMY
TRINITY_DN101719_c0_g1,EMIL3_MOUSE
TRINITY_DN101719_c0_g2,EMIL3_MOUSE
TRINITY_DN101724_c0_g1,UBE2K_MOUSE
TRINITY_DN10172_c0_g1,TCB1_CAEBR
TRINITY_DN10173_c0_g1,MYF5_XENLA
TRINITY_DN101747_c0_g1,LORF2_HUMAN
TRINITY_DN101755_c1_g1,FGL1_BOVIN
TRINITY_DN101758_c0_g1,ELFN1_MOUSE
TRINITY_DN10175_c0_g1,TRI54_PONAB
TRINITY_DN10175_c0_g2,TRI54_PONAB
TRINITY_DN101761_c0_g1,FERM2_MOUSE
TRINITY_DN10176_c0_g1,CQ053_MOUSE
TRINITY_DN10177_c0_g1,DYM_XENLA
TRINITY_DN101783_c0_g1,LORF2_HUMAN
TRINITY_DN101796_c0_g1,YG31B_YEAST
TRINITY_DN10179_c0_g1,BABA2_XENTR
TRINITY_DN10179_c0_g2,BABA2_CHICK
TRINITY_DN1017_c0_g1,CSK21_XENLA
TRINITY_DN1017_c0_g2,CSK21_XENLA
TRINITY_DN1017_c0_g3,CSK21_MOUSE
TRINITY_DN101807_c0_g1,C2512_DANRE
TRINITY_DN10184_c1_g1,RL12_CHILA
TRINITY_DN10184_c1_g2,RL12_RAT
TRINITY_DN10184_c1_g3,RL12_RAT
TRINITY_DN101852_c0_g1,LIN1_NYCCO
TRINITY_DN101866_c0_g1,MAST3_HUMAN
TRINITY_DN101875_c0_g1,CEP78_XENTR
TRINITY_DN101877_c0_g1,MDN1_HUMAN
TRINITY_DN101877_c1_g1,MDN1_HUMAN
TRINITY_DN101878_c0_g1,LORF2_MOUSE
TRINITY_DN101878_c0_g2,LIN1_NYCCO
TRINITY_DN101883_c0_g1,LORF2_HUMAN
TRINITY_DN101887_c0_g2,TXLNG_HUMAN
TRINITY_DN101890_c0_g1,HECA2_HUMAN
TRINITY_DN10189_c0_g1,ARC1A_RAT
TRINITY_DN10189_c1_g1,ABCC8_HUMAN
TRINITY_DN10189_c1_g2,ABCC8_HUMAN
TRINITY_DN1018_c0_g1,GRB2_RAT
TRINITY_DN1018_c0_g5,GRB2B_XENLA
TRINITY_DN101901_c0_g1,GTPB1_XENLA
TRINITY_DN10190_c0_g1,CI135_HUMAN
TRINITY_DN10190_c0_g2,CI135_HUMAN
TRINITY_DN101918_c4_g1,ENDOU_XENTR
TRINITY_DN101929_c0_g1,FOXN2_XENTR
TRINITY_DN101930_c0_g1,LORF2_HUMAN
TRINITY_DN101932_c0_g1,ELOF1_MOUSE
TRINITY_DN101948_c0_g1,SPART_BOVIN
TRINITY_DN101952_c0_g1,MOG2A_XENLA
TRINITY_DN101965_c1_g3,PCDC2_PANTR
TRINITY_DN101968_c0_g1,LORF2_HUMAN
TRINITY_DN101973_c0_g1,CD38_RAT
TRINITY_DN101973_c0_g2,CD38_MOUSE
TRINITY_DN101977_c0_g1,LORF2_MOUSE
TRINITY_DN101980_c0_g1,S2533_HUMAN
TRINITY_DN10198_c2_g1,CP242_PIG
TRINITY_DN101993_c0_g1,IFM5_MOUSE
TRINITY_DN101998_c0_g1,LIN1_NYCCO
TRINITY_DN1019_c0_g1,GP3LA_XENLA
TRINITY_DN1019_c1_g1,S35B3_MOUSE
TRINITY_DN10200_c0_g3,KS6R_HUMAN
TRINITY_DN102019_c0_g1,TF29_SCHPO
TRINITY_DN102027_c1_g2,ADA21_HUMAN
TRINITY_DN102030_c0_g3,LIN1_NYCCO
